physical_page,dataset_id
20,satvikahuja/mixer_on_off_new_1
20,aergogo/so100_pick_place
20,andy309/so100_0314_fold_cloths
20,jchun/so100_pickplace_small_20250323_120056
20,astroyat/cube
20,Ofiroz91/so_100_cube2bowl
20,HappyPablo/dec3_data2
20,ZCM5115/so100_1210
20,francescocrivelli/orange_feeding
20,francescocrivelli/carrot_eating
20,0x00raghu/toffee_red
20,0x00raghu/toffee_red_2
20,0x00raghu/toffee_red_3__
20,0x00raghu/toffee_blue
20,0x00raghu/toffee_blue_2
20,0x00raghu/toffee_to_hand_1
20,0x00raghu/toffee_to_hand_2
20,liyitenga/so100_bi_hello
20,liyitenga/so100_bi_giveme5
20,ZCM5115/so100_2Arm3cameras_movebox
20,pranavsaroha/so100_carrot_1
20,pranavsaroha/so100_carrot_3
20,pranavsaroha/so100_carrot_4
20,maximilienroberti/so100_lego_red_box
20,pranavsaroha/so100_squishy
20,rabhishek100/so100_train_dataset
20,pranavsaroha/so100_squishy100
20,swarajgosavi/kikobot_pusht_real_v2
20,pandaRQ/pickmed
20,swarajgosavi/act_kikobot_pusht_real
20,pranavsaroha/so100_squishy2colors
20,pranavsaroha/so100_squishy2colors_1
20,Chojins/chess_game_001_white
20,jmrog/so100_sweet_pick
20,Chojins/chess_game_002_white
20,pranavsaroha/so100_squishy2colors_2_new
20,Chojins/chess_game_003_white
20,aractingi/pick_place_lego_cube
20,Chojins/chess_game_004_white
20,Chojins/chess_game_005_white
20,Chojins/chess_game_006_white
20,Chojins/chess_game_007_white
20,koenvanwijk/blue2
20,jlitch/so100multicam3
20,koenvanwijk/blue52
20,jlitch/so100multicam6
20,aractingi/pick_place_lego_cube_1
20,jlitch/so100multicam7
20,vladfatu/so100_ds
20,Chojins/chess_game_000_white
20,HITHY/so100-kiwi
20,HITHY/so100_peach1
20,HITHY/so100_redstrawberry
20,satvikahuja/orange_mixer_1
20,satvikahuja/mixer_on_off
20,satvikahuja/orange_pick_place_new1
20,satvikahuja/mixer_on_off_new
20,danmac1/real_real332
20,FeiYjf/Makalu_push
20,liyitenga/so100_pick_taffy1
20,chmadran/so100_dataset04
20,FeiYjf/Maklu_dataset
20,FeiYjf/new_Dataset
20,liyitenga/so100_pick_taffy2
20,satvikahuja/mixer_on_off_new_4
20,CSCSXX/pick_place_cube_1.17
20,liyitenga/so100_pick_taffy3
20,liyitenga/so100_pick_taffy4
20,yuz1wan/so100_pick_pink
20,yuz1wan/so100_pick_wahaha
20,yuz1wan/so100_pp_pink
20,yuz1wan/so100_pour_cup
21,liyitenga/so100_pick_taffy5
21,liyitenga/so100_pick_taffy6
21,yuz1wan/so100_button
21,yuz1wan/so100_pickplace
21,liyitenga/so100_pick_taffy7
21,FeiYjf/push_gg
21,FeiYjf/push_0094
21,swarajgosavi/act_kikobot_block_real
21,liyitenga/so100_pick_taffy8
21,phospho-ai/OrangeBrick3Cameras
21,vaishanthr/toy_pick_place
21,SeanLMH/so100_picknplace_v2
21,pepijn223/yellow_lego_in_box1
21,DimiSch/so100_50ep_2
21,DimiSch/so100_50ep_3
21,SeanLMH/so100_picknplace
21,nbaron99/so100_pick_and_place2
21,chmadran/so100_dataset08
21,vaishanthr/toy_pickplace_50ep
21,Beegbrain/pick_place_green_block_lr
21,Ityl/so100_recording1
21,vaishanthr/toy_pickplace
21,ad330/so100_box_pickPlace
21,Beegbrain/so100_put_cube_cup
21,aractingi/push_green_cube_hf
21,aractingi/push_green_cube_hf_cropped_resized
21,carpit680/giraffe_task
21,carpit680/giraffe_sock_demo_1
21,DimiSch/so100_terra_50_2
21,carpit680/giraffe_sock_demo_2
21,aractingi/push_cube_to_face_reward
21,aractingi/push_cube_to_face_reward_cropped_resized
21,aractingi/push_cube_reward_data
21,aractingi/push_cube_reward_data_cropped_resized
21,aractingi/push_cube_offline_data_cropped_resized
21,aractingi/push_cube_front_side_reward
21,aractingi/push_cube_front_side_reward_cropped_resized
21,aractingi/push_cube_front_side_reward_long
21,aractingi/push_cube_front_side_reward_long_cropped_resized
21,aractingi/push_cube_reward
21,aractingi/push_cube_reward_cropped_resized
21,aractingi/push_cube_square_reward_cropped_resized
21,aractingi/push_cube_square_reward_1
21,aractingi/push_cube_square_reward_1_cropped_resized
21,aractingi/push_cube_square_light_reward
21,aractingi/push_cube_square_light_offline_demo
21,aractingi/push_cube_square_light_offline_demo_cropped_resized
21,denghj/dataset_red_tape01
21,aractingi/push_cube_square_offline_demo
21,aractingi/push_cube_square_offline_demo_cropped_resized
21,Beegbrain/stack_two_cubes
21,FeiYjf/Test_NNNN
21,LegrandFrederic/Orange-brick-lower-resolution
21,aractingi/pick_place_lego_cube_cropped_resized
21,aractingi/push_cube_overfit
21,aractingi/push_cube_overfit_cropped_resized
21,HITHY/so100_peach
21,zaringleb/so100_cube_2
21,andreasBihlmaier/dual_arm_transfer_2025_02_16
21,zaringleb/so100_cube_4_binary
21,1g0rrr/reward_pickplace1
21,1g0rrr/reward_pickplace1_cropped_resized
21,FeiYjf/Hold_Pieces
21,FeiYjf/Grab_Pieces
21,hegdearyandev/so100_eraser_cup_v1
21,jbraumann/so100_1902
21,liyitenga/so100_pick_taffy10
21,mikechambers/block_cup_5
21,zaringleb/so100_cube_5_linear
21,yuz1wan/so100_pickplace_0223_2
21,yuz1wan/so100_pickplace_0223_3
21,samsam0510/mj_data_temp
21,samsam0510/tape_insert_1
21,samsam0510/tape_insert_2
